Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Total_Revolving_Bal,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Credit_Limit
0.8082191780821918,0.0,0,3,1.0,2,0.0,0.9464285714285714,6.0,1,4,0.8617401668653158,0.15572564027082722,0.07693140012984202,0.21739130434782608,0.16213945673480815,0.17317317317317316,12554.0
0.7808219178082192,0.0,0,3,1.0,3,0.0,0.9285714285714286,4.0,6,4,0.9451728247914184,0.10538710627023845,0.07265743345596191,0.2536231884057971,0.08288994679361522,0.928928928928929,2564.0
0.821917808219178,1.0,1,5,0.0,5,1.0,0.8571428571428571,1.0,2,1,0.6126340882002383,0.17750956726523404,0.4026725816922744,0.7101449275362319,0.15569868384206106,0.04504504504504504,34516.0
0.4794520547945205,0.0,2,3,1.0,2,0.0,0.6428571428571429,3.0,3,2,0.0,0.4777745069178687,0.1348193031811296,0.39855072463768115,0.25119014281713803,0.0,1438.3
0.589041095890411,0.0,5,3,0.0,1,0.0,0.5535714285714286,4.0,1,2,0.0,0.1795702090079482,0.25660030296472625,0.5942028985507246,0.23018762251470173,0.0,7564.0
0.7534246575342466,1.0,1,3,0.0,0,0.0,0.75,6.0,3,2,0.499404052443385,0.2455107447748013,0.24496862151049556,0.5434782608695652,0.22010641276953236,0.4994994994994995,2517.0
0.5342465753424658,0.0,4,4,0.0,4,0.0,0.5178571428571429,6.0,3,3,0.6920937624155741,0.13364733588460406,0.12475654620212075,0.36231884057971014,0.17166059927191263,0.2002002002002002,8700.0
0.6986301369863014,1.0,1,1,0.0,5,0.0,0.6964285714285714,4.0,3,2,0.0,0.2976155431262879,0.24037004977277646,0.5434782608695652,0.30327639316718,0.0,5448.0
0.684931506849315,0.0,2,0,0.0,3,0.0,0.75,3.0,3,4,0.0,0.2269649690903739,0.20763903916901102,0.43478260869565216,0.12965555866704004,0.0,1645.0
0.5342465753424658,0.0,4,1,1.0,2,0.0,0.5714285714285714,4.0,2,2,0.8812077870480731,0.23609066823667946,0.23928803289331313,0.6521739130434783,0.18678241388966677,0.11611611611611612,19198.0
0.5753424657534246,0.0,3,4,1.0,3,0.0,0.6607142857142857,1.0,1,3,0.0,0.1995878716514572,0.24085695736853496,0.6014492753623188,0.20414449733968074,0.0,32106.0
0.589041095890411,0.0,1,1,1.0,1,0.0,0.44642857142857145,6.0,3,3,0.0,0.23373564910214897,0.2683942869508764,0.5652173913043478,0.22794735368244187,0.0,1616.0
0.684931506849315,0.0,2,3,1.0,3,0.0,0.6607142857142857,6.0,2,1,0.34247119586809693,0.19134530468060054,0.07525427396667388,0.2898550724637681,0.05936712405488658,0.5995995995995996,1438.3
0.410958904109589,0.0,1,3,0.0,0,0.0,0.3392857142857143,5.0,2,0,0.6801748112832737,0.26346776567559616,0.13952607660679506,0.4927536231884058,0.18454214505740688,0.19619619619619622,8744.0
0.6027397260273972,0.0,3,3,0.0,1,0.0,0.7142857142857143,1.0,3,1,0.48867699642431467,0.17397703856343832,0.8313676693356417,0.8913043478260869,0.19182301876225147,0.13413413413413414,9199.0
0.8493150684931506,0.0,0,0,0.0,1,0.0,0.8928571428571429,3.0,2,2,0.5824394119984108,0.3638504562849573,0.1658731876217269,0.4420289855072464,0.1943433211985438,0.2002002002002002,7348.0
0.7534246575342466,1.0,3,3,0.0,0,0.0,0.6428571428571429,3.0,3,5,0.0,0.07388872534589344,0.10690326769097598,0.3188405797101449,0.07196863623634836,0.0,2060.0
